Time elapsed (s),Avg prompt throughput (tokens/s),Avg generation throughput (tokens/s),Running (reqs),Swapped (reqs),Pending (reqs),GPU KV cache usage (%),CPU KV cache usage (%)
1,560.6,0.4,2,0,30,6.1,0.0
2,15161.9,10.2,14,0,18,43.0,0.0
3,15136.8,10.2,26,0,6,79.9,0.0
4,8682.4,381.3,32,0,0,99.3,0.0
5,0.0,902.9,31,1,0,98.3,1.1
6,0.0,926.9,31,1,0,99.3,1.1
7,0.0,860.2,30,2,0,98.1,2.3
8,0.0,844.4,29,3,0,96.7,3.6
9,0.0,861.0,29,3,0,98.6,3.6
10,0.0,811.1,28,4,0,97.1,4.8
11,0.0,825.2,28,4,0,98.9,4.8
12,0.0,815.0,28,4,0,99.9,4.8
13,0.0,785.0,27,5,0,98.1,6.1
14,0.0,816.2,27,5,0,99.9,6.1
15,0.0,755.7,26,6,0,97.9,7.5
16,0.0,788.0,26,6,0,99.6,7.5
17,0.0,731.5,25,7,0,97.4,8.9
18,0.0,762.6,25,7,0,99.1,8.9
19,0.0,714.0,24,8,0,96.7,10.4
20,0.0,736.3,24,8,0,98.3,10.4
21,0.0,730.4,24,8,0,99.1,10.4
22,0.0,676.7,23,9,0,96.5,11.9
23,0.0,705.2,23,9,0,98.0,11.9
24,0.0,699.0,23,9,0,99.5,11.9
25,0.0,641.2,22,10,0,96.6,13.5
26,0.0,673.6,22,10,0,98.1,13.5
27,0.0,668.6,22,10,0,99.5,13.5
28,0.0,613.8,21,11,0,96.4,15.2
29,0.0,645.4,21,11,0,97.8,15.2
30,0.0,640.2,21,11,0,99.2,15.2
31,0.0,635.2,21,11,0,99.9,15.2
32,0.0,576.4,20,12,0,96.4,17.0
33,0.0,612.5,20,12,0,97.8,17.0
34,0.0,608.2,20,12,0,99.1,17.0
35,0.0,558.8,19,13,0,95.4,18.8
36,0.0,586.2,19,13,0,96.6,18.8
37,0.0,581.7,19,13,0,97.9,18.8
38,0.0,244.7,13,0,0,51.3,0.0
39,0.0,550.8,13,0,0,52.2,0.0
40,0.0,545.9,12,0,0,48.3,0.0
41,0.0,521.6,12,0,0,49.5,0.0
42,0.0,517.0,12,0,0,50.3,0.0
43,0.0,502.6,11,0,0,46.2,0.0
44,0.0,486.3,11,0,0,47.3,0.0
45,0.0,482.5,11,0,0,48.4,0.0
46,0.0,457.9,10,0,0,44.2,0.0
47,0.0,453.6,10,0,0,44.9,0.0
48,0.0,427.5,9,0,0,40.6,0.0
49,0.0,416.0,8,0,0,36.3,0.0
50,0.0,389.2,8,0,0,37.1,0.0
51,0.0,369.1,7,0,0,32.9,0.0
52,0.0,351.6,7,0,0,33.6,0.0
53,0.0,316.7,6,0,0,29.0,0.0
54,0.0,283.4,5,0,0,24.5,0.0
55,0.0,245.2,4,0,0,19.8,0.0
56,0.0,203.8,3,0,0,15.1,0.0
57,0.0,156.0,2,0,0,10.1,0.0
58,0.0,84.1,1,0,0,5.2,0.0
